,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
4749,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
4750,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
4751,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
4752,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
4753,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
4754,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
4755,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
4756,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
4757,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
4758,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
4759,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
4760,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
4761,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
4762,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
4763,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
4764,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
4765,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
4766,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
4767,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
4768,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
4769,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
4770,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
4771,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
4772,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
4773,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
4774,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
4775,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
4776,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
4777,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
4778,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
4779,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
4780,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
4781,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
4782,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
4783,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
4784,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
4785,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
4786,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
4787,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
4788,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
4789,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
4790,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
4791,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
4792,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
4793,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
4794,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
4795,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
4796,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
4797,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
4798,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
4799,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
4800,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
4801,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
4802,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
4803,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
4804,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
4805,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
4806,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
4807,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
4808,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
4809,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
4810,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
4811,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
4812,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
4813,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
4814,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
4815,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
4816,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
4817,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
4818,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
4819,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
4820,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
4821,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
4822,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
4823,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
4824,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
4825,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
4826,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
4827,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
4828,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
4829,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
4830,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
4831,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
4832,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
4833,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
4834,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
4835,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
4836,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
4837,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
4838,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
4839,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
4840,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
4841,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
4842,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
4843,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
4844,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
4845,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
4846,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
4847,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
4848,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
4849,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
4850,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
4851,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
4852,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
4853,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
4854,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
4855,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
4856,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
4857,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
4858,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
4859,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
4860,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
4861,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
4862,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
4863,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
4864,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
4865,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
4866,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
4867,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
4868,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
4869,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
4870,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
4871,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
4872,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
4873,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
4874,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
4875,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
4876,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
4877,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
4878,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
4879,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
4880,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
4881,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
4882,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
4883,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
4884,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
4885,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
4886,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
4887,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
4888,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
4889,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
4890,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
4891,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
4892,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
4893,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
4894,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
4895,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
4896,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
4897,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
4898,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
4899,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
4900,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
4901,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
4902,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
4903,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
4904,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
4905,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
4906,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
4907,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
4908,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
4909,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
4910,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
4911,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
4912,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
4913,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
4914,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
4915,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
4916,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
4917,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
4918,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
4919,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
4920,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
4921,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
4922,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
4923,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
4924,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
4925,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
4926,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
4927,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
4928,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
4929,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
4930,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
4931,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
4932,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
4933,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
4934,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
4935,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
4936,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
4937,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
4938,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
4939,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
4940,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
4941,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
4942,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
4943,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
4944,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
4945,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
4946,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
4947,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
4948,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
4949,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
4950,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
4951,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
4952,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
4953,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
4954,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
4955,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
4956,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
4957,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
4958,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
4959,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
4960,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
4961,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
4962,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
4963,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
4964,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
4965,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
4966,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
4967,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
4968,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
4969,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
4970,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
